system:index,d0,d1,d2,d3,d4,d5,d6,d7,d8,id_c,.geo
00000000000000001d78,731.6658999443165,235.15114645264973,0.0,0.0,235.15114645264973,234.85031595272218,147.96117159059315,0.0,234.85036089109187,168786,"{""type"":""MultiPolygon"",""coordinates"":[[[[92.76922966106939,12.167593665733495],[92.77012148537978,12.160579503940083],[92.76047197911355,12.128460598562858],[92.75174105858191,12.094941498671302],[92.75426934078868,12.071339489613598],[92.80649883325277,12.090830200018521],[92.86110050920335,12.162220394584192],[92.86320075364317,12.167593664334467],[92.76922966106939,12.167593665733495]]],[[[92.73293252830742,12.167593639554662],[92.71134829871217,12.065645193821958],[92.68976398836942,11.96369681679044],[92.6681796941342,11.861748366715831],[92.64659543697158,11.759799883623273],[92.71260576015933,11.759799921988025],[92.77861604453098,11.7597999212954],[92.79193089496788,11.864169660717394],[92.79582817932273,11.901938259702817],[92.79442804732537,11.921388870509196],[92.76110071771794,12.056388120474612],[92.75405976542655,12.067879185757795],[92.74990831546762,12.074581219113334],[92.74874005302799,12.09153028894097],[92.7577608061888,12.127501856773641],[92.76249196177909,12.143889026304155],[92.76749057247184,12.159437939669099],[92.76691089054071,12.167593665951076],[92.73293252830742,12.167593639554662]]]]}"
00000000000000001d79,3410.3010857873383,1557.414004341309,0.0,0.0,1557.414004341309,1544.9492010964098,537.0599904061311,0.0,1554.5381700476455,168787,"{""type"":""MultiPolygon"",""coordinates"":[[[[92.64659543697158,11.759799883623273],[92.61589451309217,11.611120128785371],[92.6185877915605,11.603891877827355],[92.6633081359572,11.530548634547984],[92.67442023204636,11.513889392443142],[92.71650968148731,11.491799006757303],[92.72719811535059,11.503330261189642],[92.76055225122776,11.615547995306555],[92.77861604453098,11.7597999212954],[92.71260576015933,11.759799921988025],[92.64659543697158,11.759799883623273]]],[[[92.59631018637796,11.373891474315329],[92.6155377730783,11.356389471416017],[92.62664099703576,11.35361150489518],[92.63303980309219,11.354160004887964],[92.67623956664472,11.362079307720418],[92.70261960082989,11.383607897196486],[92.69386189061463,11.454721603469114],[92.68970158114982,11.464437981925098],[92.68135856834186,11.482220928392207],[92.66720097623374,11.496111008700849],[92.64020105790075,11.512221729711857],[92.62998081080413,11.499718395716101],[92.62581157107138,11.490001975830495],[92.59631018637796,11.373891474315329]]]]}"
00000000000000001d7a,653.1366838959675,409.8844868178074,0.0,0.0,409.8844868178074,409.4505325411036,209.42950816658512,0.0,408.5515941614811,168789,"{""type"":""Polygon"",""coordinates"":[[[92.40642376129306,10.537756487167833],[92.51194844636329,10.537756568743086],[92.51332185260549,10.539718555614423],[92.53608996051311,10.575828340716372],[92.57639135814655,10.687778498830804],[92.57693093577176,10.70083031006926],[92.57499119367611,10.712499794926558],[92.56048129077789,10.776969502815236],[92.53055178194546,10.867221679097781],[92.52541043425073,10.875970395146958],[92.49804044886159,10.900829885862272],[92.47291346987798,10.890507098761416],[92.45629105746912,10.802319451467602],[92.43966861613544,10.714131774578684],[92.42304623107822,10.625944148287564],[92.40642376129306,10.537756487167833]]]}"
00000000000000001d7b,5.173134531946305,5.0070546084357535,0.0,0.0,5.0070546084357535,5.0070546084357535,4.133240867526654,0.0,5.0070546084357535,168790,"{""type"":""Polygon"",""coordinates"":[[[92.40642376129306,10.537756487167833],[92.40472043337854,10.528548466435183],[92.46111020332131,10.515001728857484],[92.49524905230064,10.519438573002624],[92.50749824406346,10.531388915337397],[92.51194844636329,10.537756568743086],[92.40642376129306,10.537756487167833]]]}"
00000000000000000d79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152018,"{""type"":""MultiPolygon"",""coordinates"":[[[[68.1983030891042,23.716081242071862],[68.19886939907185,23.66291094750323],[68.17155066716022,23.636000196307236],[68.1442319807503,23.60908955588123],[68.17845116067775,23.590972185409427],[68.21706475978479,23.58527572079612],[68.25567829788504,23.579579190973337],[68.32957012574934,23.584930154850763],[68.35721206734053,23.61028013042455],[68.3636019523839,23.640548511128518],[68.38469790891287,23.677768586901447],[68.43418951733491,23.71608121160293],[68.375217883366,23.71608119345519],[68.31624625095812,23.71608119078422],[68.2572747129351,23.716081259275413],[68.1983030891042,23.716081242071862]]],[[[68.56302630301938,23.716081199893253],[68.52439936259715,23.68909141759358],[68.48577240512469,23.66210154258531],[68.44714539135374,23.635111782151245],[68.40851846396662,23.608121938721414],[68.40414858381983,23.512639221027488],[68.4185982797569,23.471318977452448],[68.43304796766697,23.429998698289644],[68.45340262026615,23.400225223124572],[68.47375733497788,23.37045182666305],[68.49411201326163,23.34067844211831],[68.51446673852425,23.31090502880268],[68.53081492780204,23.3615520605663],[68.54716307989524,23.412199092278566],[68.5635112818548,23.462846091143692],[68.57985943878393,23.513493084689255],[68.59620763773191,23.564140126618135],[68.61255578380134,23.61478715828558],[68.6289039640398,23.66543423357299],[68.64525217452115,23.716081220747206],[68.60413927554589,23.716081252941436],[68.56302630301938,23.716081199893253]]]]}"
00000000000000000dd5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152328,"{""type"":""Polygon"",""coordinates"":[[[68.64525217452115,23.716081220747206],[68.6289039640398,23.66543423357299],[68.61255578380134,23.61478715828558],[68.59620763773191,23.564140126618135],[68.57985943878393,23.513493084689255],[68.5635112818548,23.462846091143692],[68.54716307989524,23.412199092278566],[68.53081492780204,23.3615520605663],[68.51446673852425,23.31090502880268],[68.52322880177493,23.298102880068132],[68.58735124761574,23.29810289238729],[68.65147373140188,23.29810296994548],[68.71559610721911,23.29810288799316],[68.77971859288384,23.298102904953446],[68.84384095120602,23.298102955572606],[68.90796339967419,23.29810295198889],[68.97208588270391,23.298102940406793],[69.03620825358847,23.298102954273755],[69.05319692333552,23.35035018610776],[69.07018550820473,23.402597486737722],[69.08717418568108,23.454844823110815],[69.10416276942861,23.507092111540423],[69.12115134597494,23.559339393010497],[69.13814000184286,23.611586622101736],[69.15512864165031,23.663833901126036],[69.1721172609677,23.7160812586489],[69.1062590546729,23.71608125037584],[69.04040099967341,23.71608122802063],[68.97454280812295,23.716081179004256],[68.90868464674789,23.71608124086867],[68.84282659113593,23.716081192475382],[68.77696844378647,23.71608120565951],[68.71111027990428,23.71608123143797],[68.64525217452115,23.716081220747206]]]}"
00000000000000000dd6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152329,"{""type"":""Polygon"",""coordinates"":[[[68.52322880177493,23.298102880068132],[68.54304061134549,23.269158878118514],[68.57203256540339,23.238934016558375],[68.60102455335596,23.208709137270343],[68.63001655331472,23.178484198370093],[68.6590084524139,23.14825931785926],[68.70574876632543,23.11870886216591],[68.75248906971761,23.089158359190016],[68.79005919063653,23.068049017174438],[68.82762933208366,23.046939586888353],[68.86519953728553,23.025830202166038],[68.90276966751927,23.004720798582895],[68.93795647581368,22.9900504179456],[68.96251938795649,23.067063490532746],[68.98708234570398,23.144076627116757],[69.01164533569005,23.221089796246492],[69.03620825358847,23.298102954273755],[68.97208588270391,23.298102940406793],[68.90796339967419,23.29810295198889],[68.84384095120602,23.298102955572606],[68.77971859288384,23.298102904953446],[68.71559610721911,23.29810288799316],[68.65147373140188,23.29810296994548],[68.58735124761574,23.29810289238729],[68.52322880177493,23.298102880068132]]]}"
00000000000000000e2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152637,"{""type"":""Polygon"",""coordinates"":[[[69.31121890938834,24.13456782040858],[69.29383115806081,24.082257028051796],[69.27644342964255,24.029946202990057],[69.25905572889232,23.977635403680342],[69.2416680605681,23.925324515584766],[69.22428033848168,23.873013671071817],[69.20689265833225,23.820702855074696],[69.1895049339276,23.768392027065428],[69.1721172609677,23.7160812586489],[69.2379753604783,23.716081188341423],[69.30383345872333,23.71608119890694],[69.36969166098328,23.7160811896252],[69.43554979950476,23.716081194722552],[69.50140788819432,23.716081186892094],[69.56726603164061,23.716081237629624],[69.63312415234533,23.716081219699053],[69.69898235439605,23.716081203834207],[69.71650210569312,23.76839207447582],[69.73402194016577,23.820702858622482],[69.75154176201683,23.873013745602076],[69.76906156635137,23.92532450347397],[69.78658134827361,23.97763533410079],[69.8041011937782,24.02994619161658],[69.82162100707234,24.082257005376395],[69.83914078325773,24.134567890707547],[69.77315057122321,24.134567851734353],[69.7071603204431,24.13456782637186],[69.64117011073908,24.13456785527352],[69.5751798398692,24.134567867008798],[69.50918958715566,24.13456781506348],[69.44319934076925,24.134567813289227],[69.3772090886373,24.13456788851042],[69.31121890938834,24.13456782040858]]]}"
00000000000000000e2c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152638,"{""type"":""Polygon"",""coordinates"":[[[69.1721172609677,23.7160812586489],[69.15512864165031,23.663833901126036],[69.13814000184286,23.611586622101736],[69.12115134597494,23.559339393010497],[69.10416276942861,23.507092111540423],[69.08717418568108,23.454844823110815],[69.07018550820473,23.402597486737722],[69.05319692333552,23.35035018610776],[69.03620825358847,23.298102954273755],[69.10193714583635,23.298102944534264],[69.167665944563,23.29810289060877],[69.23339475703199,23.298102951322786],[69.29912359933721,23.298102926162827],[69.36485239641934,23.29810294823597],[69.43058125487538,23.298102915409903],[69.49631000828089,23.29810294799006],[69.5620388536941,23.2981029554986],[69.57915676548257,23.350350179956337],[69.59627472298233,23.402597515656375],[69.61339263072173,23.45484480547338],[69.63051057505598,23.507092090505004],[69.64762855142386,23.55933939962102],[69.66474646435665,23.611586662667822],[69.6818644002019,23.66383392103125],[69.69898235439605,23.716081203834207],[69.63312415234533,23.716081219699053],[69.56726603164061,23.716081237629624],[69.50140788819432,23.716081186892094],[69.43554979950476,23.716081194722552],[69.36969166098328,23.7160811896252],[69.30383345872333,23.71608119890694],[69.2379753604783,23.716081188341423],[69.1721172609677,23.7160812586489]]]}"
00000000000000000e2d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152639,"{""type"":""Polygon"",""coordinates"":[[[69.03620825358847,23.298102954273755],[69.01164533569005,23.221089796246492],[68.98708234570398,23.144076627116757],[68.96251938795649,23.067063490532746],[68.93795647581368,22.9900504179456],[68.94274997789874,22.98804820800255],[68.96554937749573,22.978608319581134],[69.01019391434554,22.958609226622407],[69.05483840571654,22.938610240143948],[69.08421944849194,22.91680519004935],[69.1136004869064,22.895000190033],[69.13161525263624,22.88061956653835],[69.2057756525982,22.88061955806501],[69.27993603678878,22.88061955171778],[69.35409649097312,22.88061955320319],[69.4282569186811,22.880619629830246],[69.44497962165984,22.93280496811272],[69.46170241892803,22.984990444456873],[69.47842512438972,23.037175803217735],[69.49514791565441,23.089361271456035],[69.51187060663078,23.141546680401966],[69.52859337492085,23.193732083904692],[69.54531612535689,23.245917499102593],[69.5620388536941,23.2981029554986],[69.49631000828089,23.29810294799006],[69.43058125487538,23.298102915409903],[69.36485239641934,23.29810294823597],[69.29912359933721,23.298102926162827],[69.23339475703199,23.298102951322786],[69.167665944563,23.29810289060877],[69.10193714583635,23.298102944534264],[69.03620825358847,23.298102954273755]]]}"
